ticker,date,adj_close,volume
LMT,2023-06-01,450.045,1200000
NVDA,2023-06-01,380.304,8000000
SPY,2023-06-01,430.0,20000000
JPM,2023-06-01,139.993,3500000
LMT,2023-06-05,450.3376,1200274
NVDA,2023-06-05,381.084,8000274
SPY,2023-06-05,430.1935,20000274
JPM,2023-06-05,140.042,3500274
LMT,2023-06-06,450.5853,1200411
NVDA,2023-06-06,381.5604,8000411
SPY,2023-06-06,430.3871,20000411
JPM,2023-06-06,140.098,3500411
LMT,2023-06-07,450.9007,1200548
NVDA,2023-06-07,382.0946,8000548
SPY,2023-06-07,430.6453,20000548
JPM,2023-06-07,140.1751,3500548
LMT,2023-06-08,450.9458,1200685
NVDA,2023-06-08,382.4002,8000685
SPY,2023-06-08,430.6453,20000685
JPM,2023-06-08,140.1681,3500685
LMT,2023-06-09,451.0585,1200822
NVDA,2023-06-09,382.7635,8000822
SPY,2023-06-09,430.7099,20000822
JPM,2023-06-09,140.1821,3500822
LMT,2023-06-12,451.2389,1200959
NVDA,2023-06-12,383.1846,8000959
SPY,2023-06-12,430.8391,20000959
JPM,2023-06-12,140.2171,3500959
LMT,2023-06-13,451.4871,1201096
NVDA,2023-06-13,383.6635,8001096
SPY,2023-06-13,431.033,20001096
JPM,2023-06-13,140.2732,3501096
LMT,2023-06-15,451.8483,1201370
NVDA,2023-06-15,384.508,8001370
SPY,2023-06-15,431.2916,20001370
JPM,2023-06-15,140.3433,3501370
LMT,2023-06-16,451.9613,1201507
NVDA,2023-06-16,384.8733,8001507
SPY,2023-06-16,431.3563,20001507
JPM,2023-06-16,140.3574,3501507
LMT,2023-06-19,452.1421,1201644
NVDA,2023-06-19,385.2967,8001644
SPY,2023-06-19,431.4857,20001644
JPM,2023-06-19,140.3925,3501644
LMT,2023-06-20,452.3907,1201781
NVDA,2023-06-20,385.7783,8001781
SPY,2023-06-20,431.6799,20001781
JPM,2023-06-20,140.4486,3501781
LMT,2023-06-21,452.7074,1201918
NVDA,2023-06-21,386.3184,8001918
SPY,2023-06-21,431.9389,20001918
JPM,2023-06-21,140.5259,3501918
LMT,2023-06-22,452.7527,1202055
NVDA,2023-06-22,386.6274,8002055
SPY,2023-06-22,431.9389,20002055
JPM,2023-06-22,140.5188,3502055
LMT,2023-06-23,452.8659,1202192
NVDA,2023-06-23,386.9947,8002192
SPY,2023-06-23,432.0037,20002192
JPM,2023-06-23,140.5329,3502192
LMT,2023-06-26,453.047,1202329
NVDA,2023-06-26,387.4204,8002329
SPY,2023-06-26,432.1333,20002329
JPM,2023-06-26,140.568,3502329
LMT,2023-07-05,454.5214,1203288
NVDA,2023-07-05,390.5889,8003288
SPY,2023-07-05,433.2364,20003288
JPM,2023-07-05,140.8776,3503288
LMT,2023-07-17,455.7728,1204384
NVDA,2023-07-17,393.8622,8004384
SPY,2023-07-17,434.0819,20004384
JPM,2023-07-17,141.096,3504384
LMT,2023-07-18,456.0235,1204521
NVDA,2023-07-18,394.3545,8004521
SPY,2023-07-18,434.2772,20004521
JPM,2023-07-18,141.1525,3504521
LMT,2023-07-27,457.3018,1205480
NVDA,2023-07-27,397.401,8005480
SPY,2023-07-27,435.1899,20005480
JPM,2023-07-27,141.3996,3505480
LMT,2023-08-08,458.7671,1206576
NVDA,2023-08-08,400.9116,8006576
SPY,2023-08-08,436.2354,20006576
JPM,2023-08-08,141.6827,3506576
LMT,2023-08-10,459.1342,1206850
NVDA,2023-08-10,401.794,8006850
SPY,2023-08-10,436.4971,20006850
JPM,2023-08-10,141.7535,3506850
LMT,2023-08-18,460.1681,1207672
NVDA,2023-08-18,404.3925,8007672
SPY,2023-08-18,437.2178,20007672
JPM,2023-08-18,141.945,3507672
LMT,2023-08-22,460.6054,1207946
NVDA,2023-08-22,405.3434,8007946
SPY,2023-08-22,437.5458,20007946
JPM,2023-08-22,142.0373,3507946
LMT,2023-08-30,461.8504,1208768
NVDA,2023-08-30,408.1483,8008768
SPY,2023-08-30,438.4654,20008768
JPM,2023-08-30,142.2931,3508768
LMT,2023-09-01,462.012,1209042
NVDA,2023-09-01,408.8628,8009042
SPY,2023-09-01,438.5311,20009042
JPM,2023-09-01,142.3002,3509042
LMT,2023-09-11,463.1219,1209864
NVDA,2023-09-11,411.5687,8009864
SPY,2023-09-11,439.321,20009864
JPM,2023-09-11,142.5138,3509864
LMT,2023-09-14,463.7473,1210275
NVDA,2023-09-14,412.9902,8010275
SPY,2023-09-14,439.7824,20010275
JPM,2023-09-14,142.6421,3510275
LMT,2023-09-21,464.6755,1210960
NVDA,2023-09-21,415.2666,8010960
SPY,2023-09-21,440.4425,20010960
JPM,2023-09-21,142.8204,3510960
LMT,2023-10-03,466.1645,1212056
NVDA,2023-10-03,418.935,8012056
SPY,2023-10-03,441.5006,20012056
